               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086854,            0.029498,                   0,             0.52739,             0.32869,             0.34038,             0.17998,            0.054393,            0.017915,                   0,             0.07011,           0.0033211,           0.0033211
                   1,            0.053406,            0.026035,                   0,             0.59709,             0.61386,             0.60209,             0.32589,            0.039345,            0.014121,                   0,            0.039979,           0.0065227,           0.0065227
                   2,            0.046055,            0.022805,                   0,             0.69354,             0.72262,              0.7443,             0.47394,            0.034164,            0.012037,                   0,           0.0097148,           0.0095922,           0.0095922
                   3,            0.040922,            0.021475,                   0,             0.70695,             0.60907,             0.68718,             0.41652,            0.034929,            0.012741,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.037205,            0.020798,                   0,             0.80915,             0.78713,             0.82758,             0.56133,            0.030162,            0.011317,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.034137,            0.018965,                   0,             0.84563,             0.77285,             0.85499,              0.5765,            0.028436,           0.0096447,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.032397,            0.018706,                   0,             0.83953,             0.73811,             0.83575,             0.59077,            0.027448,            0.010242,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.030557,            0.017684,                   0,             0.87369,             0.80198,             0.88484,             0.61013,            0.026384,           0.0096092,                   0,            0.008812,            0.008812,            0.008812
                   8,             0.02978,            0.017018,                   0,             0.89615,              0.7995,             0.87817,             0.63721,            0.024729,            0.008994,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.028622,            0.016487,                   0,             0.88714,             0.74257,              0.8329,             0.59782,            0.026518,           0.0098431,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.027664,             0.01626,                   0,             0.88904,             0.79208,             0.89099,             0.64376,            0.023949,           0.0090981,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.027031,            0.015523,                   0,             0.93371,             0.83679,             0.93361,             0.72144,            0.021906,           0.0072819,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.026348,             0.01545,                   0,             0.88322,             0.77723,             0.88131,             0.66093,            0.023528,           0.0091019,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.025766,            0.015001,                   0,             0.89679,             0.84653,             0.92809,              0.7134,            0.021368,           0.0075093,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.025051,             0.01479,                   0,             0.94547,             0.84158,             0.93047,             0.71022,             0.02102,           0.0072125,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.024461,            0.014139,                   0,             0.93714,             0.88559,             0.94928,             0.74553,            0.020157,           0.0064474,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.024012,            0.013779,                   0,             0.93921,             0.85149,              0.9372,             0.72752,            0.021365,           0.0071375,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.023542,            0.013509,                   0,             0.92354,             0.86881,             0.93274,             0.73449,            0.020117,           0.0070548,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.023274,            0.013696,                   0,             0.92884,             0.87239,             0.94277,             0.73697,            0.019718,           0.0067835,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.022733,            0.013258,                   0,             0.90087,             0.88861,             0.94691,             0.74366,             0.02001,           0.0066804,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.022456,            0.013163,                   0,             0.92764,             0.85679,             0.94456,             0.74549,            0.019234,            0.006753,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.021859,            0.012792,                   0,             0.95833,             0.84406,             0.94074,             0.75923,            0.018859,           0.0066523,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.021572,            0.012738,                   0,             0.92557,             0.84901,             0.93561,             0.74322,            0.018487,           0.0068935,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.021119,            0.012568,                   0,             0.91577,             0.88808,             0.94761,             0.76366,            0.018378,           0.0065051,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.020863,             0.01223,                   0,             0.94183,             0.89356,             0.94544,             0.75823,            0.019032,           0.0067254,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.020642,            0.012304,                   0,              0.9025,             0.89352,              0.9465,             0.76446,            0.018118,           0.0064337,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.020091,            0.012082,                   0,             0.94733,             0.89033,             0.95374,             0.77776,            0.017043,           0.0061148,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.019725,             0.01149,                   0,             0.92536,             0.88992,              0.9435,             0.77535,            0.017955,           0.0067089,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.019641,            0.011569,                   0,             0.96013,             0.90347,             0.95171,             0.77963,            0.017015,           0.0061456,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.019472,            0.011507,                   0,             0.93591,             0.89604,             0.95125,             0.77473,            0.017979,           0.0064009,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.019284,            0.011458,                   0,             0.92123,             0.89604,             0.94803,             0.78396,            0.017631,           0.0065585,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.018755,            0.011258,                   0,             0.92387,             0.91089,             0.95477,              0.7828,            0.017608,           0.0061196,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.018518,            0.011001,                   0,             0.91991,             0.90594,             0.94828,             0.78853,            0.016638,           0.0061467,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.018375,            0.010887,                   0,             0.94868,             0.88366,             0.95551,             0.79872,            0.016449,           0.0060167,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.017933,            0.010572,                   0,             0.93699,             0.92019,             0.95892,             0.80062,            0.016414,           0.0059069,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.017907,            0.010818,                   0,             0.92103,             0.92383,             0.96052,             0.80551,            0.016527,           0.0057894,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.017637,            0.010276,                   0,             0.94119,              0.9112,             0.95935,             0.80912,            0.015952,           0.0056628,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.017406,            0.010453,                   0,             0.95908,             0.89851,             0.95675,             0.80582,            0.016067,           0.0058596,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.017169,            0.010099,                   0,             0.94352,             0.90972,             0.95638,             0.80732,            0.015882,           0.0059098,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.017006,             0.01006,                   0,             0.92146,             0.90842,             0.95339,             0.80424,             0.01613,           0.0059536,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.016667,            0.010004,                   0,             0.94525,             0.89747,             0.95085,             0.80647,            0.015906,           0.0060274,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.016643,           0.0098794,                   0,             0.94583,              0.9076,             0.95728,             0.81343,            0.015636,           0.0058014,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.016349,           0.0097708,                   0,             0.96495,             0.88589,             0.95236,             0.80521,             0.01604,           0.0059133,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.016139,           0.0095877,                   0,             0.95771,             0.91337,             0.95844,             0.81055,            0.015914,           0.0057147,                   0,            0.001684,            0.001684,            0.001684
                  44,             0.01584,             0.00956,                   0,             0.95722,             0.90099,             0.95435,             0.81648,            0.015516,           0.0057615,                   0,            0.001486,            0.001486,            0.001486
                  45,              0.0158,           0.0092397,                   0,             0.94297,             0.91337,             0.95792,             0.82097,            0.015246,           0.0057168,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.015605,            0.009417,                   0,             0.95143,             0.92079,             0.95547,              0.8189,             0.01499,            0.005642,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.015321,           0.0093467,                   0,             0.95685,             0.90842,              0.9588,             0.82679,            0.015221,           0.0056489,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.015436,           0.0092687,                   0,             0.95597,             0.91359,             0.96078,             0.82663,            0.014859,           0.0055408,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.015146,           0.0090379,                   0,             0.95534,             0.91832,             0.95935,             0.83005,            0.014813,           0.0054961,                   0,            0.000496,            0.000496,            0.000496
